Id_tag,Id,Name,Algorithms,Difficulty
136,1205F,Beauty of a Permutation,constructive algorithms;math,3400
137,1205E,Expected Value Again,combinatorics;strings,3100
138,1205D,Almost All,constructive algorithms;trees,2800
139,1205C,Palindromic Paths,implementation;interactive,2500
140,1205B,Shortest Cycle,bitmasks;brute force;graphs;shortest paths,1900
141,1205A,Almost Equal,constructive algorithms;greedy;math,1300
142,1204E,"Natasha, Sasha and the Prefix Sums",combinatorics;dp;math;number theory,2400
143,1204D2,Kirk and a Binary String (hard version),data structures;greedy;math;strings,2100
144,1204D1,Kirk and a Binary String (easy version),brute force;greedy;strings,2000
145,1204C,"Anna, Svyatoslav and Maps",dp;graphs;greedy;shortest paths,1700
146,1204B,Mislove Has Lost an Array,greedy;math,1000
147,1204A,BowWow and the Timetable,math,1100
148,1203F2,Complete the Projects (hard version),dp;greedy,2400
149,1203F1,Complete the Projects (easy version),greedy,2100
150,1203E,Boxers,greedy;sortings,1500
151,1203D2,Remove the Substring (hard version),binary search;greedy;implementation;two pointers,1800
152,1203D1,Remove the Substring (easy version),greedy;implementation,1600
153,1203C,Common Divisors,implementation;math,1300
154,1203B,Equal Rectangles,greedy;math,1200
155,1203A,Circle of Students,implementation,1100
156,1202F,You Are Given Some Letters...,binary search;implementation;math,2800
157,1202E,You Are Given Some Strings...,brute force;string suffix structures;strings,2500
158,1202D,Print a 1337-string...,combinatorics;constructive algorithms;math;strings,1900
159,1202C,You Are Given a WASD-string...,brute force;data structures;dp;greedy;implementation;math;strings,2100
160,1202B,You Are Given a Decimal String...,brute force;dp;shortest paths,1700
161,1202A,You Are Given Two Binary Strings...,bitmasks;greedy,1100
162,1201E2,Knightmare (hard),graphs;interactive;shortest paths,3000
163,1201E1,Knightmare (easy),graphs;interactive;shortest paths,2900
164,1201D,Treasure Hunting,binary search;dp;greedy;implementation,2000
165,1201C,Maximum Median,binary search;greedy;math;sortings,1400
166,1201B,Zero Array,greedy;math,1500
167,1201A,Important Exam,implementation;strings,900
168,1200F,Graph Traveler,brute force;data structures;dfs and similar;dp;graphs;implementation;math;number theory,2500
169,1200E,Compress Words,brute force;hashing;implementation;string suffix structures;strings,2000
170,1200D,White Lines,brute force;data structures;dp;implementation;two pointers,1900
171,1200C,Round Corridor,math;number theory,1500
172,1200B,Block Adventure,dp;greedy,1300
173,1200A,Hotelier,brute force;data structures;implementation,1000
174,1199B,Water Lily,geometry;math,1000
175,1199A,City Day,implementation,1000
176,1198F,GCD Groups 2,greedy;number theory;probabilities,2900
177,1198E,Rectangle Painting 2,flows;graph matchings;graphs,2500
178,1198D,Rectangle Painting 1,dp,2400
179,1198C,Matching vs  Independent Set,constructive algorithms;graphs;greedy;sortings,2200
180,1198B,Welfare State,binary search;brute force;data structures;sortings,1600
181,1198A,MP3,sortings;two pointers,1700
182,1197F,Coloring Game,dp;games;matrices,2500
183,1197E,Culture Code,binary search;combinatorics;data structures;dp;shortest paths;sortings,2300
184,1197D,Yet Another Subarray Problem,dp;greedy;math,1900
185,1197C,Array Splitting,greedy;sortings,1400
186,1197B,Pillars,greedy;implementation,1000
187,1197A,DIY Wooden Ladder,greedy;math;sortings,1000
188,1196F,K-th Path,brute force;constructive algorithms;shortest paths;sortings,2500
189,1196E,Connected Component on a Chessboard,constructive algorithms;implementation,1900
190,1196D2,RGB Substring (hard version),data structures;dp;implementation;two pointers,1600
191,1196D1,RGB Substring (easy version),implementation,1500
192,1196C,Robot Breakout,implementation,1500
193,1196B,Odd Sum Segments,constructive algorithms;math,1200
194,1196A,Three Piles of Candies,brute force;constructive algorithms;math,700
195,1195F,Geometers Anonymous Club,data structures;geometry;math;sortings,2700
196,1195E,OpenStreetMap,data structures;two pointers,2100
197,1195D2,Submarine in the Rybinsk Sea (hard edition),combinatorics;math;number theory,1700
198,1195D1,Submarine in the Rybinsk Sea (easy edition),combinatorics;math;number theory,1500
199,1195C,Basketball Exercise,dp,1400
200,1195B,Sport Mafia,binary search;brute force;math,1100
201,1195A,Drinks Choosing,greedy;math,1100
202,1194G,Another Meme Problem,dp,3000
203,1194F,Crossword Expert,combinatorics;dp;number theory;probabilities;two pointers,2500
204,1194E,Count The Rectangles,bitmasks;brute force;data structures;geometry;sortings,2200
205,1194D,1-2-K Game,games;math,1700
206,1194C,From S To T,implementation;strings,1300
207,1194B,Yet Another Crosses Problem,implementation,1300
208,1194A,Remove a Progression,math,800
209,1193C,Scissors and Tape,*special problem;constructive algorithms;geometry,2200
210,1193B,Magic Tree,*special problem;data structures;dp;trees,2200
211,1193A,Amusement Park,*special problem;dp;math,2200
212,1192C,Cubeword,*special problem;brute force;dp;meet-in-the-middle,2200
213,1192B,Dynamic Diameter,*special problem;data structures;dfs and similar;divide and conquer;trees,2200
214,1192A,Building Skyscrapers,*special problem,2200
215,1191B,Tokitsukaze and Mahjong,brute force;implementation,1200
216,1191A,Tokitsukaze and Enhancement,brute force,700
217,1190F,Tokitsukaze and Powers,number theory;probabilities,3300
218,1190E,Tokitsukaze and Explosion,binary search;greedy,3100
219,1190D,Tokitsukaze and Strange Rectangle,data structures;divide and conquer;sortings;two pointers,2200
220,1190C,Tokitsukaze and Duel,brute force;games;greedy,2400
221,1190B,"Tokitsukaze, CSL and Stone Game",games,1800
222,1190A,Tokitsukaze and Discard Items,implementation;two pointers,1500
223,1189C,Candies!,data structures;dp;implementation;math,1400
224,1189B,Number Circle,greedy;math;sortings,1100
225,1189A,Keanu Reeves,strings,800
226,1188E,Problem from Red Panda,combinatorics,3200
227,1188D,Make Equal,dp,3000
228,1188C,Array Beauty,dp,2700
229,1188B,Count Pairs,math;matrices;number theory;two pointers,2200
230,1188A2,Add on a Tree: Revolution,constructive algorithms;dfs and similar;implementation;trees,2500
231,1188A1,Add on a Tree,trees,1600
232,1187G,Gang Up,flows;graphs,2600
233,1187F,Expected Square Beauty,dp;math;probabilities,2600
234,1187E,Tree Painting,dfs and similar;dp;trees,2000
235,1187D,Subarray Sorting,data structures;sortings,2200
236,1187C,Vasya And Array,constructive algorithms;greedy;implementation,1800
237,1187B,Letters Shop,binary search;implementation;strings,1300
238,1187A,Stickers and Toys,math,900
239,1186F,Vus the Cossack and a Graph,dfs and similar;graphs;greedy;implementation,2300
240,1186E,Vus the Cossack and a Field,divide and conquer;implementation;math,2500
241,1186D,Vus the Cossack and Numbers,constructive algorithms;greedy;math,1600
242,1186C,Vus the Cossack and Strings,implementation;math,1800
243,1186A,Vus the Cossack and a Contest,implementation,600
244,1185G2,Playlist for Polycarp (hard version),combinatorics;dp,2800
245,1185G1,Playlist for Polycarp (easy version),bitmasks;combinatorics;dp,2100
246,1185F,Two Pizzas,bitmasks;brute force,2200
247,1185E,Polycarp and Snakes,brute force;implementation,2000
248,1185D,Extra Element,implementation;math,1700
249,1185C2,Exam in BerSU (hard version),brute force;data structures;greedy;math,1700
250,1185C1,Exam in BerSU (easy version),greedy;sortings,1200
251,1185B,Email from Polycarp,implementation;strings,1200
252,1185A,Ropewalkers,math,900
253,1184E3,Daleks' Invasion (hard),data structures;dsu;graphs;trees,2500
254,1184E2,Daleks' Invasion (medium),dfs and similar;graphs;shortest paths;trees,2200
255,1184E1,Daleks' Invasion (easy),graphs;trees,2000
256,1184D2,Parallel Universes (Hard),math;matrices,3300
257,1184D1,Parallel Universes (Easy),implementation,1600
258,1184C3,Heidi and the Turing Test (Hard),null,3200
259,1184C2,Heidi and the Turing Test (Medium),data structures,2300
260,1184C1,Heidi and the Turing Test (Easy),implementation,1700
261,1184B3,The Doctor Meets Vader (Hard),flows;shortest paths,2700
262,1184B2,The Doctor Meets Vader (Medium),flows;graph matchings;graphs;shortest paths;sortings,2300
263,1184B1,The Doctor Meets Vader (Easy),binary search;sortings,1400
264,1184A3,Heidi Learns Hashing (Hard),fft;math;number theory,3100
265,1184A2,Heidi Learns Hashing (Medium),brute force;number theory,2100
266,1184A1,Heidi Learns Hashing (Easy),brute force;math;number theory,1200
267,1183H,Subsequences (hard version),dp;strings,2200
268,1183G,Candy Box (hard version),greedy;implementation;sortings,2100
269,1183F,Topforces Strikes Back,brute force;math;sortings,2400
270,1183E,Subsequences (easy version),dp;graphs;implementation;shortest paths,2000
271,1183D,Candy Box (easy version),greedy;sortings,1400
272,1183C,Computer Game,binary search;math,1400
273,1183B,Equalize Prices,math,1000
274,1183A,Nearest Interesting Number,implementation,900
275,1182F,Maximum Sine,binary search;data structures;number theory,2900
276,1182E,Product Oriented Recurrence,dp;math;matrices;number theory,2200
277,1182D,Complete Mirror,constructive algorithms;dfs and similar;dp;hashing;implementation;trees,2500
278,1182C,Beautiful Lyrics,data structures;greedy;strings,1700
279,1182B,Plus from Picture,dfs and similar;implementation;strings,1300
280,1182A,Filling Shapes,dp;math,1000
281,1181E2,A Story of One Country (Hard),brute force;greedy;sortings,3000
282,1181E1,A Story of One Country (Easy),brute force;divide and conquer;sortings,2600
283,1181D,Irrigation,binary search;data structures;implementation;sortings;trees;two pointers,2100
284,1181C,Flag,brute force;combinatorics;dp;implementation,1900
285,1181B,Split a Number,greedy;implementation;strings,1500
286,1181A,Chunga-Changa,greedy;math,1000
287,1180B,Nick and Array,greedy;implementation,1500
288,1180A,Alex and a Rhombus,dp;implementation;math,800
289,1179E,Alesya and Discrete Math,divide and conquer;interactive,3200
290,1179D,Fedor Runs for President,data structures;dp;trees,2600
291,1179C,Serge and Dining Room,binary search;data structures;graph matchings;greedy;implementation;math;trees,2400
292,1179B,Tolik and His Uncle,constructive algorithms,1800
293,1179A,Valeriy and Deque,data structures;implementation,1500
294,1178H,Stock Exchange,binary search;flows;graphs,3500
295,1178G,The Awesomest Vertex,data structures;dfs and similar,2900
296,1178F2,Long Colorful Strip,dp,2600
297,1178F1,Short Colorful Strip,combinatorics;dfs and similar;dp,2200
298,1178E,Archaeology,brute force;constructive algorithms;greedy;strings,1900
299,1178D,Prime Graph,constructive algorithms;greedy;math;number theory,1600
300,1178C,Tiles,combinatorics;greedy;math,1300
301,1178B,WOW Factor,dp;strings,1300
302,1178A,Prime Minister,greedy,1100
303,1177B,Digits Sequence (Hard Edition),binary search;divide and conquer;implementation,1800
304,1177A,Digits Sequence (Easy Edition),implementation,1100
305,1176F,Destroy it!,dp;implementation;sortings,2500
306,1176E,Cover it!,dfs and similar;dsu;graphs;shortest paths;trees,1700
307,1176D,Recover it!,dfs and similar;graphs;greedy;number theory;sortings,1900
308,1176C,Lose it!,dp;greedy;implementation,1300
309,1176B,Merge it!,math,1100
310,1176A,Divide it!,brute force;greedy;implementation,800
311,1175G,Yet Another Partiton Problem,data structures;divide and conquer;dp;geometry;two pointers,2700
312,1175F,The Number of Subpermutations,brute force;data structures;divide and conquer;hashing;math,2600
313,1175E,Minimal Segment Cover,data structures;dfs and similar;divide and conquer;dp;greedy;implementation;trees,2200
314,1175D,Array Splitting,greedy;sortings,1900
315,1175C,Electrification,binary search;brute force;greedy,1600
316,1175B,Catch Overflow!,data structures;expression parsing;implementation,1600
317,1175A,From Hero to Zero,implementation;math,1000
318,1174F,Ehab and the Big Finale,constructive algorithms;divide and conquer;graphs;implementation;interactive;trees,2300
319,1174E,Ehab and the Expected GCD Problem,combinatorics;dp;math;number theory,2500
320,1174D,Ehab and the Expected XOR Problem,bitmasks;constructive algorithms,1900
321,1174C,Ehab and a Special Coloring Problem,constructive algorithms;number theory,1300
322,1174B,Ehab Is an Odd Person,sortings,1200
323,1174A,Ehab Fails to Be Thanos,constructive algorithms;greedy;sortings,1000
324,1173B,Nauuo and Chess,constructive algorithms;greedy,1100
325,1173A,Nauuo and Votes,greedy,700
326,1172F,Nauuo and Bug,data structures,3300
327,1172E,Nauuo and ODT,data structures,3300
328,1172D,Nauuo and Portals,constructive algorithms,2800
329,1172C2,Nauuo and Pictures (hard version),dp;probabilities,2700
330,1172C1,Nauuo and Pictures (easy version),dp;probabilities,2500
331,1172B,Nauuo and Circle,combinatorics;dfs and similar;dp;trees,2000
332,1172A,Nauuo and Cards,greedy;implementation,1800
333,1170I,Good Subsets,*special problem;dp,2200
334,1170H,Longest Saw,*special problem;constructive algorithms,2200
335,1170G,Graph Decomposition,*special problem;graphs,2200
336,1170F,Wheels,*special problem;binary search;greedy,2200
337,1170E,Sliding Doors,*special problem;binary search,2200
338,1170D,Decoding of Integer Sequences,*special problem;data structures;implementation,2200
339,1170C,Minus and Minus Give Plus,*special problem;implementation;strings,2200
340,1170B,Bad Days,*special problem;implementation,2200
341,1170A,Three Integers Again,*special problem;math,2200
342,1169B,Pairs,graphs;implementation,1500
343,1169A,Circle Metro,implementation;math,1000
344,1168E,Xor Permutations,constructive algorithms;math,3100
345,1168D,Anagram Paths,dp;implementation;trees,2900
346,1168C,And Reachability,bitmasks;dp,2400
347,1168B,Good Triple,brute force;two pointers,2000
348,1168A,Increasing by Modulo,binary search;greedy,1800
349,1167G,Low Budget Inception,brute force;geometry,3000
350,1167F,Scalar Queries,combinatorics;data structures;math;sortings,2300
351,1167E,Range Deleting,binary search;combinatorics;data structures;two pointers,2100
352,1167D,Bicolored RBS,constructive algorithms;greedy,1500
353,1167C,News Distribution,dfs and similar;dsu;graphs,1400
354,1167B,Lost Numbers,brute force;divide and conquer;interactive;math,1400
355,1167A,Telephone Number,brute force;greedy;strings,700
356,1166F,Vicky's Delivery Service,data structures;dsu;graphs;hashing,2800
357,1166E,The LCMs Must be Large,bitmasks;brute force;constructive algorithms;math;number theory,2000
358,1166D,Cute Sequences,binary search;brute force;greedy;math,2100
359,1166C,A Tale of Two Lands,binary search;sortings;two pointers,1600
360,1166B,All the Vowels Please,constructive algorithms;math;number theory,1100
361,1166A,Silent Classroom,combinatorics;greedy,900
362,1165F2,Microtransactions (hard version),binary search;greedy;implementation,2400
363,1165F1,Microtransactions (easy version),binary search;greedy,2400
364,1165E,Two Arrays and Sum of Functions,greedy;math;sortings,1800
365,1165D,Almost All Divisors,math;number theory,1600
366,1165C,Good String,greedy,1300
367,1165B,Polycarp Training,data structures;greedy;sortings,1000
368,1165A,Remainder,implementation;math,1200
369,1163F,Indecisive Taxi Fee,data structures;graphs;shortest paths,2900
370,1163E,Magical Permutation,bitmasks;brute force;constructive algorithms;data structures;graphs;math,2800
371,1163D,Mysterious Code,dp;strings,2200
372,1163C2,Power Transmission (Hard Edition),data structures;geometry;implementation;math,2000
373,1163C1,Power Transmission (Easy Edition),brute force;geometry,1900
374,1163B2,Cat Party (Hard Edition),data structures;implementation,1700
375,1163B1,Cat Party (Easy Edition),data structures;implementation,1500
376,1163A,Eating Soup,greedy;math,1000
377,1162B,Double Matrix,brute force;greedy,1400
378,1162A,Zoning Restrictions Again,implementation,800
379,1160A2,Collaboration,*special problem,2200
380,1159B,Expansion coefficient of the array,implementation;math,1300
381,1159A,A pile of stones,implementation;math,800
382,1158F,Density of subarrays,dp;math,3400
383,1158E,Strange device,binary search;interactive;math;trees,3300
384,1158D,Winding polygonal line,constructive algorithms;geometry;greedy;math,2800
385,1158C,Permutation recovery,constructive algorithms;data structures;dfs and similar;graphs;greedy;math;sortings,2300
386,1158B,The minimal unique substring,constructive algorithms;math;strings,2200
387,1158A,The Party and Sweets,binary search;constructive algorithms;greedy;implementation;math;sortings;two pointers,1500
388,1157G,Inverse of Rows and Columns,brute force;constructive algorithms,2800
389,1157F,Maximum Balanced Circle,constructive algorithms;dp;greedy;two pointers,2300
390,1157E,Minimum Array,binary search;data structures;greedy,1700
391,1157D,N Problems During K Days,constructive algorithms;greedy;math,2100
392,1157C2,Increasing Subsequence (hard version),greedy,1700
393,1157C1,Increasing Subsequence (easy version),greedy,1300
394,1157B,Long Number,greedy,1300
395,1157A,Reachable Numbers,implementation,1100
396,1156G,Optimizer,graphs;greedy;hashing;implementation,3100
397,1156F,Card Bag,dp;math;probabilities,2500
398,1156E,Special Segments of Permutation,data structures;divide and conquer;dsu;two pointers,2400
399,1156D,0-1-Tree,dfs and similar;divide and conquer;dp;dsu;trees,2300
400,1156C,Match Points,binary search;greedy;sortings;ternary search;two pointers,2000
401,1156B,Ugly Pairs,dfs and similar;greedy;implementation;sortings;strings,1800
402,1156A,Inscribed Figures,geometry,1400
403,1155F,Delivery Oligopoly,brute force;dp;graphs,2700
404,1155E,Guess the Root,brute force;interactive;math,2200
405,1155D,Beautiful Array,brute force;data structures;divide and conquer;dp;greedy,1900
406,1155C,Alarm Clocks Everywhere,math;number theory,1300
407,1155B,Game with Telephone Numbers,games;greedy;implementation,1200
408,1155A,Reverse a Substring,implementation;sortings;strings,1000
409,1154G,Minimum Possible LCM,brute force;greedy;math;number theory,2400
410,1154F,Shovels Shop,dp;greedy;sortings,2300
411,1154E,Two Teams,data structures;implementation;sortings,1800
412,1154D,Walking Robot,greedy,1400
413,1154C,Gourmet Cat,implementation;math,1400
414,1154B,Make Them Equal,math,1200
415,1154A,Restoring Three Numbers,math,600
416,1153F,Serval and Bonus Problem,combinatorics;dp;math;probabilities,2800
417,1153E,Serval and Snake,binary search;brute force;interactive,2100
418,1153D,Serval and Rooted Tree,binary search;dfs and similar;dp;greedy;trees,1800
419,1153C,Serval and Parenthesis Sequence,greedy;strings,1600
420,1153B,Serval and Toy Bricks,constructive algorithms;greedy,1200
421,1153A,Serval and Bus,brute force;math,1100
422,1152F2,Neko Rules the Catniverse (Large Version),bitmasks;dp;matrices,2900
423,1152F1,Neko Rules the Catniverse (Small Version),bitmasks;dp;matrices,2900
424,1152E,Neko and Flashback,constructive algorithms;dfs and similar;graphs,2500
425,1152D,Neko and Aki's Prank,dp;greedy;trees,2000
426,1152C,Neko does Maths,brute force;math;number theory,1800
427,1152B,Neko Performs Cat Furrier Transform,bitmasks;constructive algorithms;dfs and similar;math,1300
428,1152A,Neko Finds Grapes,greedy;implementation;math,800
429,1151F,Sonya and Informatics,combinatorics;dp;matrices;probabilities,2500
430,1151E,Number of Components,combinatorics;data structures;dp;math,2100
431,1151D,Stas and the Queue at the Buffet,greedy;math;sortings,1500
432,1151C,Problem for Nazar,constructive algorithms;math,1700
433,1151B,Dima and a Bad XOR,bitmasks;brute force;constructive algorithms;dp,1600
434,1151A,Maxim and Biology,brute force;strings,1000
435,1150B,Tiling Challenge,greedy;implementation,1100
436,1150A,Stock Arbitraging,greedy;implementation,900
437,1149E,Election Promises,games;graphs,3100
438,1149D,Abandoning Roads,brute force;dp;graphs;greedy,2900
439,1149C,Tree Generator™,data structures;implementation;trees,2900
440,1149B,Three Religions,dp;implementation;strings,2200
441,1149A,Prefix Sum Primes,constructive algorithms;greedy;math;number theory,1300
442,1148H,Holy Diver,data structures,3600
443,1148G,Gold Experience,constructive algorithms;graphs;math;number theory;probabilities,3100
444,1148F,Foo Fighters,bitmasks;constructive algorithms,2500
445,1148E,Earth Wind and Fire,constructive algorithms;greedy;math;sortings;two pointers,2300
446,1148D,Dirty Deeds Done Dirt Cheap,greedy;sortings,1800
447,1148C,Crazy Diamond,constructive algorithms;sortings,1700
448,1148B,Born This Way,binary search;brute force;two pointers,1700
449,1148A,Another One Bites The Dust,greedy,700
450,1147F,Zigzag Game,games;interactive,3400
451,1147E,Rainbow Coins,interactive,2900
452,1147D,Palindrome XOR,dfs and similar;graphs,2600
453,1147C,Thanos Nim,games,2100
454,1147B,Chladni Figure,brute force;strings,1900
455,1147A,Hide and Seek,graphs,1500
456,1146H,Satanic Panic,dp;geometry,2800
457,1146G,Zoning Restrictions,dp;flows;graphs,2600
458,1146F,Leaf Partition,dp;trees,2400
459,1146E,Hot is Cold,bitmasks;data structures;divide and conquer;implementation,2400
460,1146D,Frog Jumping,dfs and similar;math;number theory,2100
461,1146C,Tree Diameter,bitmasks;graphs;interactive,1700
462,1146B,"Hate ""A""",implementation;strings,1100
463,1146A,"Love ""A""",implementation;strings,600
464,1145G,AI Takeover,null,2200
465,1145F,Neat Words,null,2200
466,1145E,Fourier Doodles,null,2200
467,1145D,Pigeon d'Or,implementation,2200
468,1145C,Mystery Circuit,bitmasks;brute force,2200
469,1145B,Kanban Numbers,brute force,2200
470,1145A,Thanos Sort,implementation,2200
471,1144G,Two Merged Sequences,dp;greedy,2600
472,1144F,Graph Without Long Directed Paths,dfs and similar;graphs,1700
